recipe_name,meal_category,yield_quantity,cuisine,suitable_nationalities,ingredients_count,ingredients,verification_status,source_authority,source_url,last_verified_on,source_notes
إفطار جنوب آسيوي,إفطار / Breakfast,100,جنوب آسيوي / South Asian,الهند، باكستان، بنغلاديش، سريلانكا، نيبال,6,بيض:100 | فول:10 | خبز نان:100 | شاي:300 | حليب:15 | موز:12,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
إفطار رمضان آسيوي,إفطار رمضان / Ramadan Iftar,100,آسيوي / Asian,إندونيسيا، ماليزيا، سنغافورة، تايلاند، الفلبين,6,تمر سكري:2.5 | ماء 330 مل:100 | أرز ياسمين:14 | صدور دجاج:18 | خيار:4 | عصير 200 مل:100,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
إفطار رمضان اقتصادي,إفطار رمضان / Ramadan Iftar,100,عام / General,جميع البعثات,6,تمر سكري:2.5 | ماء 330 مل:100 | لبن:100 | خبز عربي:100 | منديل معطر:100 | علبة إفطار صائم:100,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
إفطار رمضان عربي,إفطار رمضان / Ramadan Iftar,100,عربي / Arabic,البعثات العربية,6,تمر سكري:2.5 | ماء 330 مل:100 | لبن:100 | حمص حب:8 | خبز عربي:120 | سمبوسة خضار:100,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
إفطار رمضان فاخر,إفطار رمضان / Ramadan Iftar,100,عام / General,جميع البعثات,7,تمر عجوة:2.5 | ماء 330 مل:100 | لبن:100 | سمبوسة لحم:100 | عصير برتقال 200 مل:100 | كيك فردي:100 | علبة إفطار صائم:100,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
إفطار رمضان قياسي,إفطار رمضان / Ramadan Iftar,100,عام / General,جميع البعثات,6,تمر سكري:2.5 | ماء 330 مل:100 | لبن:100 | سمبوسة خضار:100 | عصير 200 مل:100 | علبة إفطار صائم:100,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
إفطار عربي فندقي,إفطار / Breakfast,100,عام / General,جميع البعثات,7,بيض:100 | فول:12 | لبنة:5 | جبنة شرائح:100 | خبز عربي:120 | شاي:300 | ماء 330 مل:100,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
إمام بايلدي,غداء / Lunch,100,تركي,بعثات تركي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
إنجيرا يخنة دجاج,غداء / Lunch,100,شرق أفريقي / East African,إثيوبيا، إريتريا، جيبوتي، الصومال,6,دقيق أبيض:15 | صدور دجاج:22 | بصل:6 | طماطم:4 | بابريكا:0.5 | فلفل حار:0.3,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
باراثا وبيض,إفطار / Breakfast,100,جنوب آسيوي / South Asian,الهند، باكستان، بنغلاديش,5,دقيق أبيض:14 | بيض:100 | زيت نباتي:2 | شاي:300 | حليب:15,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
بالاك دجاج,غداء / Lunch,100,هندي / Indian,الهند,6,صدور دجاج:23 | سبانخ:12 | بصل:4 | طماطم:3 | ثوم:1 | جارام ماسالا:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
بالاليط خليجي,إفطار / Breakfast,100,خليجي / Gulf,الإمارات العربية المتحدة، قطر، البحرين، الكويت، سلطنة عُمان,6,شعيرية:12 | بيض:100 | سكر:4 | هيل مطحون:0.08 | زعفران:2 | زيت نباتي:1.5,رسمي موثق / Official Verified,Visit Qatar — official tourism portal,https://visitqatar.com/intl-en/about-qatar/cuisine,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
بامية باللحم,غداء / Lunch,100,مصري / Egyptian,مصر، السودان,6,بامية:14 | لحم بقري:20 | طماطم:5 | بصل:3 | ثوم:0.8 | أرز مصري:17,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
برياني دجاج هندي,غداء / Lunch,100,عام / General,جميع البعثات,8,أرز بسمتي:18 | دجاج كامل مبرد:45 | زبادي:20 | بصل:5 | طماطم:4 | زيت نباتي:3 | كركم:0.25 | بهارات مشكلة:0.7,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
برياني سندي,غداء / Lunch,100,باكستاني / Pakistani,باكستان,6,أرز بسمتي:18 | دجاج كامل مبرد:42 | زبادي:10 | طماطم:4 | بصل:5 | بهارات برياني:0.8,رسمي موثق / Official Verified,National Register of Intangible Cultural Heritage — Pakistan,https://heritage.pakistan.gov.pk/SiteImage/Misc/files/ICH%20Pakistan%20Low.pdf,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
برياني لحم,غداء / Lunch,100,هندي,بعثات هندي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
برياني لحم باكستاني,غداء / Lunch,100,باكستاني / Pakistani,باكستان,7,أرز بسمتي:18 | لحم بقري:25 | زبادي:10 | بصل:5 | طماطم:4 | بهارات برياني:0.8 | زيت نباتي:2,رسمي موثق / Official Verified,Pakistan Tourism Development Corporation,https://tourism.gov.pk/pakistan.html,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
بطاطس ودجاج بالفرن,غداء / Lunch,100,أوروبي,بعثات أوروبي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
بلوف أوزبكي,غداء / Lunch,100,أوزبكي / Uzbek,أوزبكستان، طاجيكستان، كازاخستان، قرغيزستان,6,أرز بسمتي:18 | لحم بقري:24 | جزر:7 | بصل:5 | زيت نباتي:3 | كمون:0.35,رسمي موثق / Official Verified,Uzbekistan Travel — official tourism portal,https://uzbekistan.travel/en/c/uzbek-cuisine/,2026-08-09,المصدر يثبت اسم/هوية الطبق؛ صيغة وكميات WAFD التشغيلية مستقلة وتحتاج اعتماداً تشغيلياً.
بوفيه عالمي أساسي,بوفيه / Buffet,100,عام / General,جميع البعثات,8,أرز بسمتي:12 | صدور دجاج:20 | لحم بقري:15 | سمك فيليه:12 | مكرونة:10 | بطاطس:10 | عصير 200 مل:100 | ماء 330 مل:100,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
بوفيه عالمي فاخر,بوفيه / Buffet,100,موسمي / Seasonal,جميع البعثات,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
بوفيه عربي أساسي,بوفيه / Buffet,100,عام / General,جميع البعثات,9,أرز بسمتي:18 | دجاج كامل مبرد:40 | لحم غنم:12 | مكرونة:8 | خيار:6 | طماطم:6 | حمص حب:5 | عصير 200 مل:100 | ماء 330 مل:100,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
بوفيه عربي فاخر,بوفيه / Buffet,100,موسمي / Seasonal,جميع البعثات,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
بولاو دجاج,غداء / Lunch,100,باكستاني,بعثات باكستاني,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
بيتو وجوز الهند,إفطار / Breakfast,100,سريلانكي / Sri Lankan,سريلانكا,5,أرز بسمتي:12 | جوز هند مبشور:5 | حليب جوز الهند:5 | سكر:2 | موز:10,رسمي موثق / Official Verified,Sri Lanka Tourism,https://srilanka.travel/food,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
بيض وجبنة وخبز,إفطار / Breakfast,100,عام / General,جميع البعثات,5,بيض:100 | جبنة شرائح:100 | خبز عربي:100 | عصير 200 مل:100 | ماء 330 مل:100,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
تشانا بولاو,غداء / Lunch,100,باكستاني,بعثات باكستاني,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
تشانا ماسالا,غداء / Lunch,100,هندي / Indian,الهند,6,حمص حب:14 | طماطم:4 | بصل:4 | زنجبيل:0.7 | ثوم:0.7 | جارام ماسالا:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
تشانا مسالا,غداء / Lunch,100,هندي / Indian,الهند، باكستان,6,حمص حب:14 | طماطم:4 | بصل:4 | زنجبيل:0.7 | ثوم:0.7 | جارام ماسالا:0.5,رسمي موثق / Official Verified,Incredible India — Ministry of Tourism,https://www.prod.incredibleindia.gov.in/content/incredible-india-v2/en/destinations/delhi/food-and-cuisine.html,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
تشولي بهاتوري,غداء / Lunch,100,هندي / Indian,الهند,6,حمص حب:14 | طماطم:4 | بصل:4 | جارام ماسالا:0.5 | دقيق أبيض:14 | زبادي:6,رسمي موثق / Official Verified,Incredible India — Ministry of Tourism,https://www.prod.incredibleindia.gov.in/content/incredible-india-v2/en/destinations/delhi/food-and-cuisine.html,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
تيب بوجين سمك,غداء / Lunch,100,سنغالي / Senegalese,السنغال، موريتانيا,6,سمك فيليه:24 | أرز بسمتي:17 | ملفوف:5 | جزر:4 | معجون طماطم:3 | تمر هندي:1,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
ثريد لحم,غداء / Lunch,100,خليجي,بعثات خليجي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
ثيبودين,غداء / Lunch,100,سنغالي / Senegalese,السنغال، موريتانيا,6,سمك فيليه:24 | أرز بسمتي:17 | ملفوف:5 | جزر:4 | معجون طماطم:3 | تمر هندي:1,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
جريش,غداء / Lunch,100,خليجي,بعثات خليجي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,رسمي موثق / Official Verified,Visit Saudi — official tourism portal,https://www.visitsaudi.com/content/dam/saudi-tourism/media/guides/saudi-series-culture-english.pdf,2026-08-09,المصدر يثبت اسم/هوية الطبق؛ صيغة وكميات WAFD التشغيلية مستقلة وتحتاج اعتماداً تشغيلياً.
جولوف رايس,غداء / Lunch,100,غرب أفريقي / West African,نيجيريا، غانا، السنغال، غينيا، ساحل العاج، الكاميرون,7,أرز بسمتي:18 | طماطم:7 | فلفل رومي:4 | بصل:5 | معجون طماطم:3 | فلفل حار:0.4 | زيت نباتي:2,يحتاج مراجعة / Needs Review,Peer-reviewed Nigerian cuisine overview / ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1878450X26001526,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
جياوزي دجاج وخضار,عشاء / Dinner,100,صيني / Chinese,الصين,6,دقيق أبيض:14 | صدور دجاج:18 | ملفوف:6 | جزر:3 | صلصة صويا:2 | زنجبيل:0.5,رسمي موثق / Official Verified,Xi'an Municipal Government — Dining,https://en.xa.gov.cn/CultureTravel/Dining/1691691507897716737.html,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
حساء فول سوداني,غداء / Lunch,100,أفريقي,بعثات أفريقي,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
حليم,عشاء / Dinner,100,جنوب آسيوي / South Asian,باكستان، بنغلاديش، الهند,6,لحم بقري:18 | برغل:6 | عدس أحمر:5 | حمص حب:4 | بصل:4 | زنجبيل:0.6,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
حليم باكستاني,غداء / Lunch,100,باكستاني,بعثات باكستاني,7,أرز بسمتي:16 | دجاج كامل مبرد:45 | بصل:4 | طماطم:4 | زيت نباتي:2 | ملح:0.6 | بهارات مشكلة:0.5,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
حليم دجاج,عشاء / Dinner,100,باكستاني / Pakistani,باكستان، بنغلاديش,6,صدور دجاج:18 | برغل:6 | عدس أحمر:5 | حمص حب:4 | بصل:4 | زنجبيل:0.6,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
حمص,غداء / Lunch,100,عام / General,جميع البعثات,5,حمص حب:10 | ليمون:3 | ثوم:0.5 | زيت نباتي:1 | ملح:0.2,تشغيلي داخلي / Internal Operational,WAFD ONE — operational reference,,,مرجع تشغيلي داخلي.
حمص وفلافل,إفطار / Breakfast,100,شامي / Levantine,الأردن، فلسطين، سوريا، لبنان والعامة,7,حمص حب:12 | دقيق حمص:8 | طحينة:4 | بقدونس:2 | بصل:3 | ثوم:0.7 | خبز عربي:120,رسمي موثق / Official Verified,Visit Jordan — official tourism portal,https://edutravel.visitjordan.com/en/page/79/Food-and-Drinks,2026-08-09,اسم الطبق/النمط مرجعي؛ كميات 100 حصة هي معيار تشغيلي داخلي لـ WAFD وتحتاج اعتماد الشيف والبعثة قبل الإنتاج.
